ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
23,Shai Gilgeous-Alexander,OKC,23,24,8,16,34.9,21.7,7.3,17.9,40.9,2.0,6.4,30.5,5.1,6.3,81.3,0.5,4.1,4.6,4.9,2.4,0.9,0.7,2.0,37.1,1,0,-5.2
24,De'Aaron Fox,SAC,23,29,12,17,34.2,21.3,7.9,17.4,45.5,1.1,4.1,26.3,4.3,5.9,74.1,0.5,3.1,3.7,5.0,2.7,1.4,0.4,2.8,36.0,1,0,-4.7
25,Jaylen Brown,BOS,25,14,7,7,32.6,21.2,7.6,16.5,46.3,2.4,6.6,37.0,3.5,4.5,77.8,0.4,4.7,5.1,2.4,2.4,1.1,0.5,2.6,33.5,0,0,5.5
26,James Harden,BKN,32,26,18,8,36.2,20.8,5.9,14.7,40.4,2.5,7.3,33.7,6.5,7.4,88.5,0.9,7.0,7.9,9.6,5.0,1.4,0.7,2.4,45.9,17,4,2.7
27,CJ McCollum,POR,30,24,11,13,35.3,20.6,8.0,18.8,42.4,3.2,8.2,39.3,1.5,2.1,70.0,1.1,3.0,4.1,4.5,1.9,1.1,0.7,2.1,35.7,0,0,-2.5
28,Tyler Herro,MIA,21,25,14,11,32.9,20.3,7.8,17.8,44.0,2.6,6.8,38.2,2.0,2.4,86.4,0.8,4.5,5.2,3.7,3.1,0.6,0.1,1.3,30.9,1,0,1.0
29,OG Anunoby,TOR,24,15,7,8,37.3,20.1,7.6,17.7,43.0,2.7,7.5,36.6,2.2,2.7,82.5,1.6,3.8,5.4,2.7,1.7,1.5,0.6,2.7,35.4,1,0,0.0
30,Jerami Grant,DET,27,24,4,20,33.2,20.1,6.6,15.9,41.4,1.8,5.3,33.1,5.2,6.1,84.9,1.0,3.9,4.8,2.6,2.1,1.1,1.1,2.3,34.4,1,0,-7.6
31,LaMelo Ball,CHA,20,24,13,11,33.3,20.0,7.3,17.3,41.8,2.9,7.5,39.1,2.6,2.9,90.0,1.5,6.2,7.7,8.3,3.3,1.9,0.4,3.1,45.4,10,2,2.0
32,Cole Anthony,ORL,21,23,5,18,34.1,19.9,6.9,16.5,41.7,2.8,7.6,36.6,3.3,3.8,87.5,0.6,5.5,6.1,5.6,3.0,0.8,0.2,2.5,35.6,4,0,-2.5
33,Fred VanVleet,TOR,27,27,13,14,38.0,19.8,7.0,16.2,43.0,3.3,8.5,38.9,2.6,3.0,86.4,0.7,4.3,5.0,6.5,3.1,1.6,0.6,2.6,38.7,3,0,3.3
34,Miles Bridges,CHA,23,30,16,14,36.6,19.8,7.4,15.7,47.0,2.0,6.1,32.8,3.1,4.0,76.0,1.3,6.0,7.3,3.6,1.9,1.1,0.9,2.7,38.1,3,0,2.5
35,Malcolm Brogdon,IND,29,25,10,15,35.3,19.7,7.0,15.5,44.8,1.8,5.9,31.3,4.0,4.6,86.1,0.9,4.6,5.5,6.2,2.3,0.9,0.4,2.2,37.5,4,1,2.7
36,Kristaps Porzingis,DAL,26,21,11,10,30.2,19.7,7.1,16.0,44.3,1.6,5.6,28.8,3.9,4.3,89.0,2.2,5.9,8.1,2.0,1.4,0.7,1.6,2.5,38.0,8,0,-1.2
37,Russell Westbrook,LAL,33,29,16,13,36.2,19.6,7.4,16.4,45.1,1.3,4.0,32.2,3.6,5.3,68.0,1.3,6.5,7.8,8.4,4.6,1.2,0.2,3.0,41.2,13,5,-0.9
38,Julius Randle,NYK,27,29,13,16,35.3,19.6,7.0,16.4,42.4,1.9,5.4,34.4,3.8,4.9,78.0,1.8,8.0,9.8,5.2,3.4,0.8,0.7,2.9,40.0,13,0,-4.8
