ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
23,Shai Gilgeous-Alexander,OKC,23,25,9,16,34.9,21.6,7.4,17.8,41.3,2.0,6.4,30.8,4.9,6.0,81.3,0.6,4.0,4.6,4.9,2.4,0.9,0.7,2.2,36.9,1,0,-4.8
24,De'Aaron Fox,SAC,24,29,12,17,34.2,21.3,7.9,17.4,45.5,1.1,4.1,26.3,4.3,5.9,74.1,0.5,3.1,3.7,5.0,2.7,1.4,0.4,2.8,36.0,1,0,-4.7
25,Jaylen Brown,BOS,25,16,8,8,32.6,21.3,7.7,16.8,45.9,2.7,7.0,38.4,3.2,4.3,73.9,0.6,4.8,5.3,2.6,2.7,1.2,0.4,2.6,33.7,0,0,4.9
26,James Harden,BKN,32,26,18,8,36.2,20.8,5.9,14.7,40.4,2.5,7.3,33.7,6.5,7.4,88.5,0.9,7.0,7.9,9.6,5.0,1.4,0.7,2.4,45.9,17,4,2.7
27,CJ McCollum,POR,30,24,11,13,35.3,20.6,8.0,18.8,42.4,3.2,8.2,39.3,1.5,2.1,70.0,1.1,3.0,4.1,4.5,1.9,1.1,0.7,2.1,35.7,0,0,-2.5
28,Tyler Herro,MIA,21,25,14,11,32.9,20.3,7.8,17.8,44.0,2.6,6.8,38.2,2.0,2.4,86.4,0.8,4.5,5.2,3.7,3.1,0.6,0.1,1.3,30.9,1,0,1.0
29,Jerami Grant,DET,27,24,4,20,33.2,20.1,6.6,15.9,41.4,1.8,5.3,33.1,5.2,6.1,84.9,1.0,3.9,4.8,2.6,2.1,1.1,1.1,2.3,34.4,1,0,-7.6
30,Fred VanVleet,TOR,27,28,14,14,37.9,20.1,7.0,16.2,43.4,3.4,8.5,39.7,2.6,3.0,86.9,0.8,4.3,5.1,6.7,3.0,1.6,0.6,2.5,39.7,4,0,4.2
31,LaMelo Ball,CHA,20,26,13,13,32.8,19.9,7.2,17.1,42.0,2.8,7.3,38.9,2.7,2.9,90.8,1.7,6.0,7.7,8.1,3.2,1.9,0.4,3.1,45.0,10,2,0.6
32,Cole Anthony,ORL,21,23,5,18,34.1,19.9,6.9,16.5,41.7,2.8,7.6,36.6,3.3,3.8,87.5,0.6,5.5,6.1,5.6,3.0,0.8,0.2,2.5,35.6,4,0,-2.5
33,Miles Bridges,CHA,23,32,16,16,36.5,19.8,7.4,15.6,47.6,1.9,6.0,32.5,3.1,4.0,77.2,1.3,5.9,7.2,3.8,1.8,1.2,0.9,2.5,38.3,4,0,1.5
34,Malcolm Brogdon,IND,29,25,10,15,35.3,19.7,7.0,15.5,44.8,1.8,5.9,31.3,4.0,4.6,86.1,0.9,4.6,5.5,6.2,2.3,0.9,0.4,2.2,37.5,4,1,2.7
35,Dillon Brooks,MEM,25,17,11,6,28.6,19.7,7.1,16.6,42.9,1.8,5.2,34.1,3.7,4.1,90.0,0.8,2.8,3.6,2.8,1.9,1.2,0.1,3.4,30.3,0,0,6.6
36,Julius Randle,NYK,27,30,13,17,35.4,19.6,6.9,16.5,42.0,1.8,5.5,33.5,3.9,5.0,78.5,1.7,8.0,9.7,5.3,3.4,0.7,0.7,2.9,40.0,13,0,-4.7
37,Russell Westbrook,LAL,33,31,16,15,36.0,19.5,7.3,16.2,45.3,1.2,3.8,31.4,3.6,5.5,65.9,1.3,6.4,7.7,8.3,4.5,1.1,0.3,3.0,40.8,13,5,-1.4
38,Kristaps Porzingis,DAL,26,22,11,11,29.9,19.4,6.9,15.7,43.8,1.5,5.5,28.3,4.1,4.5,90.0,2.1,5.7,7.9,2.0,1.4,0.7,1.6,2.4,37.4,8,0,-0.7
39,OG Anunoby,TOR,24,16,8,8,36.7,19.3,7.3,17.1,42.9,2.6,7.2,35.7,2.1,2.6,81.0,1.5,3.8,5.3,2.7,1.6,1.5,0.6,2.8,34.2,1,0,1.3
40,Pascal Siakam,TOR,27,17,6,11,34.4,19.1,7.4,15.6,47.0,1.1,3.5,30.0,3.4,4.5,74.0,1.9,5.7,7.6,3.7,2.2,0.6,0.8,3.3,36.0,4,0,1.4
41,Darius Garland,CLE,21,29,18,11,34.2,19.1,7.2,15.1,47.6,2.6,6.7,39.2,2.1,2.4,89.9,0.4,2.6,3.0,7.3,3.8,1.3,0.1,1.8,34.1,8,0,7.9
42,Jonas Valanciunas,NOP,29,31,10,21,31.6,18.9,7.4,13.9,52.9,1.1,2.3,46.5,3.1,3.8,81.5,3.5,8.4,11.9,2.5,2.3,0.6,1.0,3.1,39.3,23,0,-1.9
43,D'Angelo Russell,MIN,25,25,15,10,32.6,18.9,6.5,16.6,39.2,3.0,8.7,34.1,2.9,3.6,79.1,0.4,3.5,4.0,6.2,2.6,0.9,0.6,2.1,35.1,2,0,6.8
